rotation_angle	 	 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
triceps	forcenode	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
triceps	forcenode	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3782288089814455e-06	2.4057132122988263e-15	1.7560062125643131e-15	4.3050295598993834e-06	3.7589784281437655e-13	1.9229628106078634e-15	9.8991324366930047e-16	1.0186274271265101e-15	7.7145397832851242e-10	0	1.5645450875640124e-15	1.135965680544751e-15	
triceps	forcenode	7	0	0	0	0	0	0	0	2.1555459936715994e-16	2.4515083550519811e-16	3.8825852749497549e-16	0	3.3224361478368462e-16	4.74591621427821e-06	5.500186894637257e-16	9.3260350566383273e-16	9.9518455156445268e-16	9.4567428397195554e-16	0	0.00042816945649519456	0.0025943569233499698	0.005419324935152155	0.008833811438827225	0.012888395370744345	0.017722472966815679	0.023567257852491526	0.028036215159495632	0.032061475671805381	0.036656201479414278	0.041973766925671105	0.048220846541734461	0.055694119069403428	0.064930614232567463	0.071230940863017067	0.076749217037751935	0.082752007455457993	0.089289208352676799	0.096427151598063643	0.094603793514501502	0.088618585738627034	0.085071089455816193	0.08568612307533563	
triceps	forcenode	8	0	0	1.4978360330691696e-05	0.00076120874294130893	0.0019535832191854554	0.0034020233797703763	0.0052633937247078223	0.0075590416972193932	0.010316206027677211	0.013569505962101318	0.017364044449183831	0.021760000559575599	0.025564449298876652	0.029709661881528647	0.03427330760162485	0.039307753952818623	0.044882311016167846	0.051090765238219323	0.057949874170095408	0.063658846032564192	0.069909923704995575	0.076766768913917802	0.084353539293906793	0.092847866632000328	0.10250497431012533	0.11056207183474821	0.11812258737138186	0.12640961837015133	0.13554565872404051	0.14067159475582894	0.14438480530218362	0.15379121059282289	0.14794948996803658	0.13633808712603143	0.1247522215954479	0.11348962434489789	0.10289417796036539	0.094600795272837088	0.088619257373493951	0.085074373301739878	0.085691733940210402	
triceps	forcenode	9	0	0	0.0016961488447378148	0.0068050863188700633	0.0099095191882132127	0.011902405236328836	0.014284431496877836	0.017352951303548254	0.021453898584046598	0.02700871356968702	0.034557554489327479	0.044834790370392487	0.049296104838884795	0.054264009745428839	0.060250983955831013	0.067630511803551369	0.076904178605556636	0.088798668046930415	0.10293363464751477	0.10462788202749507	0.10629273513299857	0.10834613169424537	0.11133961617020015	0.11606054001384943	0.12377706000658752	0.12187186109100523	0.11443918990357033	0.10664602728937228	0.098914241298159122	0.092602005864844295	0.088700156768518695	0.088871845498751198	0.07673877867125932	0.059601283565278058	0.042010595638915245	0.024208463639951185	0.0064734545988695416	4.6972555785976877e-10	1.0768403144501664e-15	2.2126008817772278e-15	1.135965680544751e-15	
triceps	forcenode	10	0	0	0.0016812442897948508	0.0060450305924467018	0.0079572905532954777	0.008501050583618084	0.0090218809916088102	0.0097949819840682691	0.011139085150796767	0.013441043225045482	0.017195925074661323	0.023077842762976856	0.023744403037465969	0.024558017187926443	0.025981600646553957	0.028326909863996629	0.03202619603926455	0.037712258930722296	0.045417336308602618	0.043574335058042278	0.041806314674536757	0.040417383859223659	0.039879010650212411	0.040939192406200128	0.044842489059311749	0.039348138306992096	0.028377526706028125	0.016890176408125027	0.0053381035981963547	0.00014339588164904139	5.7262653265627887e-11	0	4.2963142716126619e-06	0	0	0	0	0	0	0	0	
