rotation_angle	 	 	initial	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
triceps	length	1	0.014065917919510364	0.014065917919510371	0.014205670059563176	0.014337837940983554	0.014471357415101161	0.014600270909841017	0.014707301950916766	0.014818292266363537	0.014933887870209894	0.015054957259426256	0.015182677408436849	0.015318671438694033	0.015465247734604467	0.015561049493977736	0.015659252051069654	0.015763030802991723	0.015873791328764326	0.015993408294308453	0.016124466880180464	0.01626484199072219	0.016347273306703349	0.016436661161377566	0.016534815204080445	0.016644152796864126	0.016768069340449363	0.016911630295455123	0.017008057159510585	0.017086061301008478	0.017173493982388603	0.017272782335067724	0.017388013304505585	0.017524921679597755	0.017694298343268279	0.017789025142345156	0.01786099885370972	0.017938662047699588	0.018022570403569325	0.018113553749257025	0.018213740729410455	0.018324912309057331	0.018450920209888054	0.018602064463116852	
triceps	length	2	0.014065917919510364	0.014065917919510364	0.014205670059563176	0.014337837940983549	0.014471357394816999	0.014600270885842965	0.014707301950916773	0.014818292266363537	0.014933887870209899	0.01505495725942628	0.015182677408436825	0.015318671438694019	0.015465247734604474	0.015561049602160501	0.015659252051069668	0.015763030802991716	0.015873791328764337	0.015993408294308446	0.016124466880180481	0.016264841998585331	0.016347273440963459	0.016436661161377566	0.016534815204669071	0.016644152776626068	0.016768069315420776	0.016911630295487264	0.017008057137626952	0.017086061333607561	0.017173493982389067	0.017272782335067731	0.017388013287685647	0.017524921679597766	0.017694298343268272	0.017789025122003543	0.017860998853709731	0.017938662047699599	0.018022570403569346	0.018113553749257005	0.018213740729410465	0.018324912309057324	0.018450920209888037	0.018602064463116852	
triceps	length	3	0.014065917919510364	0.014065917919510378	0.014205670059563176	0.014337837940983542	0.014471357382436285	0.014600270867503326	0.014707301950916773	0.014818292266363536	0.014933887870209885	0.015054957259426273	0.015182677408436844	0.015318671438694038	0.015465247734604462	0.01556104975591047	0.01565925205106965	0.015763030802991723	0.01587379132876433	0.015993408294308443	0.016124466880180464	0.016264842003197919	0.016347273593459805	0.016436661161377545	0.016534815205677299	0.016644152760617644	0.016768069303841726	0.016911630295531666	0.017008057126390735	0.017086061442391182	0.017173493982389057	0.017272782335067724	0.017388013282954976	0.017524921679597755	0.017694298343268276	0.017789025115686221	0.017860998853709734	0.017938662047699592	0.018022570403569346	0.018113553749257019	0.018213740729410465	0.018324912309057331	0.01845092020988804	0.018602064463116845	
triceps	length	4	0.014065917919510364	0.014065917919510364	0.014205670059563176	0.01433783794098354	0.014471357383550066	0.014600270863154716	0.014707301950916766	0.01481829226636355	0.014933887870209902	0.01505495725942628	0.015182677408436837	0.015318671438694038	0.015465247734604467	0.01556104997117325	0.015659252051069647	0.015763030802991716	0.015873791328764337	0.015993408294308443	0.016124466880180474	0.016264842003326042	0.016347273788831478	0.016436661161377555	0.016534815207616446	0.016644152768998069	0.016768069317790596	0.016911630295607143	0.017008057136184137	0.01708606157039104	0.017173493982389064	0.017272782335067731	0.017388013299171882	0.017524921679597755	0.017694298343268279	0.01778902513545623	0.017860998853709724	0.017938662047699595	0.018022570403569346	0.018113553749257019	0.018213740729410489	0.018324912309057324	0.01845092020988804	0.018602064463116855	
triceps	length	5	0.014065917919510364	0.014065917919510371	0.014205670059563167	0.014337837940983526	0.014471357404875752	0.014600270879724304	0.014707301950916763	0.014818292266363543	0.014933887870209895	0.015054957259426276	0.015182677408436828	0.015318671438694035	0.015465247734604465	0.015561050275892068	0.01565925205106965	0.015763030802991709	0.01587379132876433	0.015993408294308432	0.016124466880180474	0.016264842012301137	0.016347274057439153	0.016436661161377552	0.016534815212058393	0.016644152822055412	0.016768069379398773	0.016911630295781924	0.017008057176268989	0.01708606174756544	0.01717349398238906	0.017272782335067724	0.017388013348183955	0.017524921679597752	0.017694298343268286	0.017789025196909052	0.017860998853709731	0.017938662047699599	0.018022570403569336	0.018113553749257015	0.018213740729410611	0.01832491230905732	0.018450920209888044	0.018602064463116855	
triceps	length	6	0.014065917919510364	0.014065917919510364	0.014205670059563176	0.014337837940983499	0.014471357456463892	0.014600270927919068	0.014707301950916773	0.014818292266363537	0.014933887870209897	0.015054957259426278	0.015182677408436833	0.015318671438694038	0.015465247734604464	0.015561050729023649	0.01565925205106965	0.015763030802991712	0.015873791328764326	0.015993408294308439	0.016124466880180481	0.016264842044694371	0.016347274462114876	0.016436661161377548	0.016534815225643859	0.016644152924221202	0.016768069493286294	0.016911630296440945	0.01700805727051519	0.017086062025114441	0.017173493982389071	0.017272782335067727	0.017388013453593757	0.017524921679597748	0.017694298343268286	0.017789025334967054	0.017860998853709745	0.017938662047699606	0.018022570403569346	0.018113553749257015	0.018213740729408769	0.01832491230905732	0.018450920209888044	0.018602064463116855	
triceps	length	7	0.014065917919510364	0.014065917919510364	0.01420567005956317	0.014337837940983662	0.014471357559673079	0.014600271032027519	0.014707301950916773	0.014818292266363536	0.014933887870209899	0.015054957259426278	0.015182677408436832	0.015318671438694042	0.015465247734604465	0.015561051492914169	0.01565925205106965	0.015763030802991712	0.01587379132876433	0.015993408294308436	0.016124466880180478	0.016264842134668153	0.016347275212475934	0.016436661161377552	0.016534815287488479	0.01664415317293761	0.016768069755368695	0.016911630304512228	0.017008057503883293	0.017086062806605764	0.017173493982388825	0.017272782335067727	0.017388013685374383	0.017524921679597748	0.017694298343268283	0.017789025687509317	0.017860998853709759	0.017938662047699602	0.018022570403569339	0.018113553749257015	0.018213740729464082	0.01832491230905732	0.018450920209888037	0.018602064463116855	
triceps	length	8	0.014065917919510364	0.014065917919510363	0.01420567005956317	0.014337837941018956	0.014471357789102033	0.01460027126932115	0.014707301950916773	0.014818292266363539	0.014933887870209899	0.01505495725942628	0.015182677408436835	0.015318671438694038	0.015465247734604465	0.015561052023576206	0.015659252051069644	0.015763030802991709	0.01587379132876433	0.015993408294308436	0.016124466880180481	0.016264877757732728	0.01634747347399065	0.016437042646537066	0.016535386219288468	0.016644914345134171	0.016769019030362736	0.016912761858397234	0.017009290282687588	0.017087365059357641	0.01717486012452479	0.017274204332073544	0.017389477764948504	0.017526403917633267	0.017695755354873614	0.017790445639934538	0.017862379487557194	0.017939989624822513	0.018023828164863413	0.018114721131638204	0.018214317907238958	0.018324773429613403	0.018450208022742578	0.018600846471190723	
triceps	length	9	0.014065917919510364	0.014065917919510364	0.014205670059563177	0.014337845699699904	0.014471609512576858	0.014600730757773439	0.014707909708881995	0.014819028112900421	0.014934729259306197	0.015055878770830658	0.015183649762280911	0.015319659953394784	0.01546620982954201	0.015561972553784246	0.015660109216474628	0.015763799081485539	0.015874439510127455	0.015993897460844869	0.01612474678464014	0.016264923712757309	0.016347500660249269	0.0164370676255974	0.016535413901069981	0.016644945507164426	0.016769053817694779	0.016912801166364018	0.017009332947814995	0.017087410309696103	0.017174908749190081	0.017274256782132947	0.017389232238826033	0.017525763458596997	0.017694933162922727	0.017789112992493361	0.017860767635841764	0.017938480104642399	0.018022762795695285	0.01811438935836852	0.018214317907211189	0.01832477342961341	0.018450208022742574	0.018600846471190712	
triceps	length	10	0.014065917919510364	0.014065917919510364	0.014205670059563169	0.014337216670430081	0.0144708430732194	0.014599936218232365	0.014707033638080399	0.014818122079256407	0.014933808453693366	0.015054935367888957	0.015182671561069732	0.015318660247876238	0.015465281580788985	0.015560976779756623	0.015659063512805469	0.015762719895428615	0.015873340422643791	0.015992801804337715	0.016123713688185718	0.016264062695436756	0.016346449912994658	0.016435883892174447	0.016534142049121597	0.01664361616146413	0.01676768181510151	0.016911397193286878	0.017007885997429414	0.017086117364115517	0.017174003173509419	0.017273932361896692	0.017389222311434364	0.017525763458602312	0.017694933162922727	0.01778911263645926	0.017860767635842992	0.017938480104642395	0.018022762795695278	0.01811438935836852	0.018214317907206814	0.018324773429613396	0.018450208022742581	0.018600846471190719	
