rotation_angle	 	 	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
triceps-joint_elbow	moment_arm_node	1	-0.049372444370425511	-0.046688288257734398	-0.044909611827040202	-0.044934139904125758	-0.044954998041256286	-0.044969526389604997	-0.044981598281123622	-0.044990891601290633	-0.044997121161618789	-0.044999901169126916	-0.044998689498184696	-0.044992693256705796	-0.044986575311759133	-0.044977500567017464	-0.044966074265086406	-0.044951406500726765	-0.04493275682168435	-0.044909047300738122	-0.044886618038210924	-0.044899703789895121	-0.044915698230094961	-0.044932659186428497	-0.044949322252321386	-0.044965130849258531	-0.044979592248544489	-0.044987200111035699	-0.044992170492960504	-0.044995988101758186	-0.044998877161744721	-0.045000054065603368	-0.044998279429968632	-0.044991672888677822	-0.044985942614364435	-0.044980460982847539	-0.044973678475021789	-0.044965256816816762	-0.044954858855115493	-0.044941907505226877	-0.044925723587925848	-0.044905115315184069	-0.044877285931567271	
triceps-joint_elbow	moment_arm_node	2	-0.049372444370425608	-0.04668828825773455	-0.044909611827039994	-0.04493414094781277	-0.044954999349431951	-0.044969526389604969	-0.044981598281123622	-0.044990891601290495	-0.044997121161618789	-0.044999901169126957	-0.04499868949818478	-0.044992693256705671	-0.044986569228499002	-0.044977500567017381	-0.04496607426508635	-0.044951406500726862	-0.044932756821684461	-0.044909047300738081	-0.044886617610974386	-0.044899696525428079	-0.044915698230094947	-0.044932659154783255	-0.04494932330435468	-0.044965132141522646	-0.0449795922466453	-0.04498720122012323	-0.044992168785575243	-0.044995988101759685	-0.04499887716174461	-0.045000054881417353	-0.044998279429968674	-0.044991672888677794	-0.044985943597474709	-0.044980460982847692	-0.044973678475021733	-0.044965256816816818	-0.044954858855115534	-0.044941907505227072	-0.044925723587925945	-0.044905115315183972	-0.044877285931567104	
triceps-joint_elbow	moment_arm_node	3	-0.04937244437042565	-0.046688288257734537	-0.044909611827039911	-0.044934142586518233	-0.044955001700982614	-0.044969526389604858	-0.044981598281123761	-0.044990891601290481	-0.0449971211616189	-0.044999901169126916	-0.044998689498184793	-0.044992693256705629	-0.044986553561336892	-0.044977500567017326	-0.044966074265086364	-0.044951406500726862	-0.044932756821684391	-0.044909047300738067	-0.044886616905983612	-0.044899680072674128	-0.044915698230094989	-0.044932659062537794	-0.044949325272042734	-0.044965134070588678	-0.044979592241691568	-0.044987202936364101	-0.044992160694524719	-0.044995988101761183	-0.04499887716174461	-0.045000055902582464	-0.044998279429968674	-0.044991672888677905	-0.044985944881067177	-0.044980460982847761	-0.044973678475021719	-0.044965256816816915	-0.044954858855115493	-0.044941907505227127	-0.044925723587925945	-0.044905115315184013	-0.04487728593156709	
triceps-joint_elbow	moment_arm_node	4	-0.049372444370425636	-0.046688288257734412	-0.044909611827040313	-0.044934142811690808	-0.044955002852865147	-0.044969526389604858	-0.044981598281123816	-0.044990891601290467	-0.044997121161618886	-0.044999901169126819	-0.044998689498184766	-0.044992693256705615	-0.044986528711427581	-0.044977500567017353	-0.044966074265086364	-0.044951406500726723	-0.044932756821684239	-0.044909047300738053	-0.044886616622518735	-0.044899657367102538	-0.044915698230094961	-0.044932658867795766	-0.044949325552554778	-0.044965133676163907	-0.044979592232705645	-0.044987202797820924	-0.044992145584533141	-0.044995988101761142	-0.044998877161744624	-0.045000054913254942	-0.044998279429968646	-0.044991672888677947	-0.044985943773210108	-0.04498046098284772	-0.044973678475021706	-0.044965256816816929	-0.044954858855115451	-0.044941907505227308	-0.044925723587925917	-0.044905115315184055	-0.044877285931567215	
triceps-joint_elbow	moment_arm_node	5	-0.049372444370425594	-0.046688288257734495	-0.044909611827041437	-0.044934140231375028	-0.044955001255227972	-0.044969526389604955	-0.044981598281123719	-0.044990891601290592	-0.044997121161618886	-0.044999901169126902	-0.044998689498184793	-0.044992693256705588	-0.044986487860426111	-0.044977500567017312	-0.044966074265086434	-0.044951406500726682	-0.044932756821684364	-0.044909047300737998	-0.044886615871227803	-0.044899621473579371	-0.044915698230094905	-0.044932658362444949	-0.044949320395284154	-0.044965127383121251	-0.044979592210898187	-0.044987198582021604	-0.044992122026003487	-0.044995988101761197	-0.044998877161744527	-0.045000049464544306	-0.044998279429968716	-0.044991672888677836	-0.044985937082261757	-0.044980460982847609	-0.044973678475021636	-0.044965256816816998	-0.044954858855115437	-0.044941907505235051	-0.044925723587925917	-0.044905115315183958	-0.044877285931567104	
triceps-joint_elbow	moment_arm_node	6	-0.049372444370425608	-0.046688288257734425	-0.044909611827046142	-0.044934132113616604	-0.044954994105256996	-0.044969526389604886	-0.044981598281123691	-0.044990891601290703	-0.044997121161618955	-0.044999901169126902	-0.044998689498184849	-0.044992693256705671	-0.044986414135076563	-0.044977500567017256	-0.044966074265086475	-0.044951406500726793	-0.044932756821684447	-0.044909047300737984	-0.044886611609149724	-0.044899555019578485	-0.044915698230094989	-0.044932656494730536	-0.044949304393553144	-0.044965109211875048	-0.04497959211878283	-0.044987184236616101	-0.044992075574043125	-0.044995988101761114	-0.044998877161744527	-0.04500003272692589	-0.044998279429968688	-0.044991672888677794	-0.044985915130802398	-0.044980460982846832	-0.044973678475021636	-0.044965256816816984	-0.044954858855115409	-0.044941907505528358	-0.044925723587925875	-0.044905115315183958	-0.044877285931567049	
triceps-joint_elbow	moment_arm_node	7	-0.049372444370425692	-0.046688288257734314	-0.044909611827027393	-0.044934111170299385	-0.044954973509958557	-0.044969526389604886	-0.044981598281123816	-0.044990891601290647	-0.044997121161618886	-0.044999901169126874	-0.044998689498184835	-0.044992693256705601	-0.044986249129575759	-0.044977500567017256	-0.04496607426508642	-0.044951406500726779	-0.044932756821684378	-0.044909047300737928	-0.044886593025483479	-0.044899383602084258	-0.044915698230095003	-0.044932644129285826	-0.044949247896685793	-0.044965047590101448	-0.044979590820469664	-0.044987127622511364	-0.044991889361891815	-0.044995988101768511	-0.044998877161744513	-0.044999970346593726	-0.044998279429968646	-0.044991672888677822	-0.044985814034553401	-0.044980460982838366	-0.044973678475021595	-0.04496525681681697	-0.044954858855115423	-0.044941907490324978	-0.044925723587925889	-0.044905115315184013	-0.044877285931567062	
triceps-joint_elbow	moment_arm_node	8	-0.049372444370425705	-0.046688288257734342	-0.044909611819554981	-0.044934044434904244	-0.044954903414709049	-0.044969526389604886	-0.044981598281123844	-0.044990891601290647	-0.044997121161618928	-0.044999901169126846	-0.044998689498184807	-0.044992693256705601	-0.04498596747712276	-0.04497750056701727	-0.044966074265086448	-0.044951406500726737	-0.044932756821684433	-0.044909047300737942	-0.044870213715272389	-0.044805254753159343	-0.044728842320928039	-0.044642628398072995	-0.044545728629454523	-0.044435196513391464	-0.044306017827163396	-0.044218423057912751	-0.044147036881951235	-0.044067075135216544	-0.043975455532581947	-0.043868393601388264	-0.043740367522591916	-0.04358055814030283	-0.043490474897352971	-0.043421847696966359	-0.043347436224064714	-0.043266711527462545	-0.043178799349409921	-0.043254756285031407	-0.043395479542274892	-0.043482864146855246	-0.04349101824565222	
triceps-joint_elbow	moment_arm_node	9	-0.049372444370425692	-0.046688288257734301	-0.044905059839593128	-0.044776432493479817	-0.044647677280944556	-0.044538778265560588	-0.044424776569766511	-0.04430503516161359	-0.044178549367952819	-0.044043957316313942	-0.043899377322024702	-0.043742126064190701	-0.043638332629697518	-0.043531803978812372	-0.043418305014306463	-0.043296429707345846	-0.043163969854071983	-0.043017863368318102	-0.042847173939233575	-0.042692022535181298	-0.04251659619772525	-0.042322591432839153	-0.042107189255912961	-0.041864308802460996	-0.041584259218837141	-0.041396909864448432	-0.041245901493453002	-0.041077001700625546	-0.040885875752743744	-0.040773720651421881	-0.040671550239413906	-0.040425524518618874	-0.04054147438880977	-0.040770874480399004	-0.040975379424281463	-0.041150490014334226	-0.041291150308833902	-0.041563310927422721	-0.041861601328239829	-0.04205738864599496	-0.042101609411129927	
triceps-joint_elbow	moment_arm_node	10	-0.049372444370425712	-0.046688288257734294	-0.044429914323996719	-0.043466644895854771	-0.043189462686088198	-0.04311867056346684	-0.042991275784892015	-0.042803357769011972	-0.042549095746955291	-0.042219847807652908	-0.041802637495293227	-0.041277455451833367	-0.041145843900405515	-0.040993021177246972	-0.040797708988599572	-0.040551467279594716	-0.040242417697331494	-0.039852755977460338	-0.039396255902272415	-0.03936038030433902	-0.0392957216788275	-0.039193718798581037	-0.039040082609452714	-0.038813891329440152	-0.038482464379413779	-0.038458172804406547	-0.038574910885351928	-0.038662339760853287	-0.038708662907923096	-0.038803261518280875	-0.038857331769498377	-0.038679240904754275	-0.039087167594044368	-0.039679865261257871	-0.040232375317306744	-0.040736705914609248	-0.041184192690872208	-0.041563310919985191	-0.041861601328239843	-0.042057388645994974	-0.042101609411129934	
